Ref #,Modality,Project Name,Entity,Countries,BM,Sector,Theme,Project Size,ESS Category,FA Financing
FP177,PAP,Cooling Facility,WorldBank,"Bangladesh, El Salvador, Kenya, North Macedonia, Malawi, Panama, Sao Tome and Principe, Somalia, Sri Lanka",B.30,Public,Cross-cutting,Large,Intermediation 2,157000000
FP178,PAP,Desert to Power G5 Sahel Facility,AfDB,"Burkina Faso, Chad, Mali, Mauritania, Niger (the)",B.30,Private,Mitigation,Large,Category A,150000000
FP179,PAP,Tanzania Agriculture Climate Adaptation Technology Deployment Programme (TACATDP),CRDB,Tanzania,B.30,Private,Adaptation,Medium,Intermediation 2,100000000
FP180,PAP,Global Fund for Coral Reefs Investment Window,PCA,"Bahamas, Belize, Brazil, Colombia, Comoros (the), Ecuador, Fiji, Guatemala, Indonesia, Jamaica, Jordan, Mexico, Mozambique, Panama, Philippines (the), Seychelles, Sri Lanka",B.30,Private,Adaptation,Large,Intermediation 2,125000000
FP181,PAP,CRAFT - Catalytic Capital for First Private Investment Fund for Adaptation Technologies in Developing Countries,PCA,"Bahamas, Brazil, Mexico, Rwanda, South Africa, Trinidad and Tobago",B.30,Private,Adaptation,Large,Intermediation 2,100000000
FP182,PAP,Climate-smart initiatives for climate change adaptation and sustainability in prioritized agricultural production systems in Colombia (CSICAP),CAF,Colombia,B.31,Public,Cross-cutting,Medium,Category B,73283080
FP183,PAP,"Inclusive Green Financing Initiative (IGREENFIN I): Greening Agricultural Banks & the Financial Sector to Foster Climate Resilient, Low Emission Smallholder Agriculture in the Great Green Wall (GGW) countries - Phase I",IFAD,"Burkina Faso, Chad, Cote d'Ivoire, Djibouti, Eritrea, Ethiopia, Ghana, Mali, Mauritania, Niger (the), Nigeria, Senegal, Sudan",B.31,Public,Cross-cutting,Medium,Category B,106546111.2
FP184,PAP,Vanuatu community-based climate resilience project (VCCRP),SCA,Vanuatu,B.32,Public,Adaptation,Small,Category C,26182878
FP185,PAP,Climate Change: The New Evolutionary Challenge for the Galapagos,CAF,Ecuador,B.32,Public,Cross-cutting,Medium,Category A,65271298.95
FP186,PAP,India E-Mobility Financing Program,MAAML,India,B.32,Private,Mitigation,Large,Intermediation 2,200000000
FP187,PAP,Ouémé Basin Climate-Resilience Initiative (OCRI) Benin,FAO,Benin,B.33,Public,Cross-cutting,Small,Category B,18453795
FP188,PAP,Climate Resilient Fishery Initiative for Livelihood Improvement in the Gambia (PROREFISH Gambia),FAO,Gambia,B.33,Public,Cross-cutting,Small,Category B,17200000
FP189,PAP,E-Mobility Program for Sustainable Cities in Latin America and the Caribbean,IDB,"Barbados, Chile, Colombia, Costa Rica, Dominican Republic (the), Jamaica, Panama, Paraguay, Uruguay",B.33,Public,Cross-cutting,Large,Category B,200000000
FP190,PAP,Climate Investor Two,FMO,"Bangladesh, Botswana, Brazil, Colombia, Cote d'Ivoire, Djibouti, Ecuador, India, Indonesia, Kenya, Madagascar, Maldives, Morocco, Namibia, Nigeria, Philippines (the), Sierra Leone, South Africa, Uganda",B.33,Private,Cross-cutting,Large,Intermediation 1,145000000
FP191,PAP,Enhancing Adaptation and Community Resilience by Improving Water Security in Vanuatu,SPC,Vanuatu,B.34,Public,Adaptation,Small,Category B,23325033
FP192,PAP,"The R's (Reduce, Reuse and Recycle) for Climate Resilience Wastewater Systems in Barbados (3R-CReWS)",CCCCC,Barbados,B.34,Public,Cross-cutting,Small,Category B,39390913.29
FP193,PAP,Peruvian Amazon Eco Bio Business Facility (Amazon EBBF),Profonanpe,Peru,B.34,Public,Mitigation,Micro,Intermediation 2,8972400
FP194,PAP,Programme for Energy Efficiency in Buildings (PEEB) Cool,AFD,"Albania, Argentina, Costa Rica, Djibouti, Indonesia, North Macedonia, Mexico, Morocco, Nigeria, Sri Lanka, Tunisia",B.34,Public,Cross-cutting,Large,Category B,223571428.6
FP195,PAP,E-Motion: E-Mobility and Low Carbon Transportation,CAF,"Panama, Paraguay, Uruguay",B.34,Public,Mitigation,Large,Category B,76616550
FP196,PAP,Supporting Innovative Mechanisms for Industrial Energy Efficiency Financing in Indonesia with Lessons for Replication in other ASEAN Member States,KDB,Indonesia,B.34,Private,Mitigation,Medium,Intermediation 2,105000000
FP197,PAP,"Green Guarantee Company (""GGC"")",MUFG_Bank,"Brazil, Gabon, India, Indonesia, Lao People's Democratic Republic (the), Philippines (the), Rwanda, Trinidad and Tobago",B.34,Private,Cross-cutting,Large,Intermediation 2,40500000
FP198,PAP,CATALI.5°T Initiative: Concerted Action To Accelerate Local I.5° Technologies – Latin America and West Africa,GIZ,"Argentina, Benin, Burkina Faso, Colombia, Costa Rica, Cote d'Ivoire, Dominican Republic (the), El Salvador, Guinea, Honduras, Mauritania, Mexico, Niger (the), Peru, Senegal, Togo",B.34,Private,Mitigation,Small,Intermediation 2,27387963.27
FP199,PAP,Public-Social-Private Partnerships for Ecologically-Sound Agriculture and Resilient Livelihood in Northern Tonle Sap Basin (PEARL),FAO,Cambodia,B.35,Public,Adaptation,Small,Category B,36231981
FP200,PAP,Scaling up the implementation of the Lao PDR Emission Reductions Programme through improved governance and sustainable forest landscape management (Project 2),GIZ,Lao People's Democratic Republic (the),B.35,Public,Cross-cutting,Small,Category B,33493310.2
FP201,PAP,Adapting Philippine Agriculture to Climate Change (APA),FAO,Philippines (the),B.35,Public,Cross-cutting,Small,Category B,26273510
FP202,PAP,Upscaling Ecosystem Based Climate Resilience of Vulnerable Rural Communities in the Valles Macro-region of the Plurinational State of Bolivia (RECEM-Valles),FAO,Bolivia (Plurinational State of),B.35,Public,Adaptation,Medium,Category B,33300000
FP203,PAP,Heritage Colombia (HECO): Maximizing the Contributions of Sustainably Managed Landscapes in Colombia for Achievement of Climate Goals,WWF,Colombia,B.35,Public,Cross-cutting,Medium,Category B,42974559
FP204,PAP,Sustainable Renewables Risk Mitigation Initiative (SRMI) Facility (Phase 2 Resilience focus) [SRMI-Resilience],WorldBank,"Ethiopia, Guinea-Bissau, Indonesia, Kyrgyzstan, Mongolia, Seychelles, Somalia, Tajikistan, Tunisia",B.35,Public,Cross-cutting,Large,Category A,160000000
FP205,PAP,Infrastructure Climate Resilient Fund (ICRF),AFC,"Benin, Cameroon, Chad, Cote d'Ivoire, Democratic Republic of the Congo (the), Djibouti, Gabon, Gambia, Ghana, Guinea, Kenya, Mali, Mauritania, Namibia, Nigeria, Rwanda, Sierra Leone, Togo, Zambia",B.35,Private,Adaptation,Large,Intermediation 1,253755000
FP206,PAP,Resilient Homestead and Livelihood support to the vulnerable coastal people of Bangladesh (RHL),PKSF,Bangladesh,B.36,Public,Adaptation,Small,Category B,42201200
FP207,PAP,Recharge Pakistan: Building Pakistan’s resilience to climate change through Ecosystem-based Adaptation (EbA) and Green Infrastructure for integrated flood risk management,WWF,Pakistan,B.36,Public,Adaptation,Medium,Category B,66000005
FP208,PAP,Enhanced climate resilience in the Trois-Rivières region of Haiti through Integrated Flood Management,UNDP,Haiti,B.36,Public,Adaptation,Small,Category B,22427206
FP209,PAP,Climate Change Resilience through South Africa’s Water Reuse Programme (“WRP”),DBSA,South Africa,B.36,Public,Adaptation,Large,Intermediation 2,235000000
FP210,PAP,KawiSafi II,Acumen,"Cote d'Ivoire, Democratic Republic of the Congo (the), Kenya, Nigeria, Rwanda, Uganda, Zambia",B.36,Private,Cross-cutting,Medium,Category B,52500000
FP211,PAP,Hardest-to-Reach,Acumen,"Benin, Burkina Faso, Burundi, Chad, Democratic Republic of the Congo (the), Guinea, Guinea-Bissau, Lesotho, Malawi, Mozambique, Niger (the), Sierra Leone, Somalia, Togo, Uganda, Zambia",B.36,Private,Cross-cutting,Medium,Intermediation 2,65000000
FP212,PAP,&Green Fund: Investing in Inclusive Agriculture and Protecting Forests,FMO,"Brazil, Cameroon, Colombia, Cote d'Ivoire, Democratic Republic of the Congo (the), Ecuador, Gabon, Indonesia, Lao People's Democratic Republic (the), Liberia, Zambia",B.36,Private,Cross-cutting,Large,Intermediation 1,189350000
FP213,PAP,The Blue Green Bank (BGB),PCA,Barbados,B.36,Private,Cross-cutting,Small,Intermediation 2,15500000
FP214,PAP,Thai Rice: Strengthening Climate-Smart Rice Farming,GIZ,Thailand,B.37,Public,Cross-cutting,Medium,Category B,38953415.31
FP215,PAP,Community Resilience Partnership Program,ADB,"Cambodia, Indonesia, Lao People's Democratic Republic (the), Pakistan, Papua New Guinea, Timor-Leste, Vanuatu",B.37,Public,Adaptation,Large,Intermediation 2,120000000
FP216,PAP,Scaling up climate resilient flood risk management in Bosnia and Herzegovina,UNDP,Bosnia and Herzegovina,B.37,Public,Adaptation,Medium,Category B,14400000
FP217,PAP,Building Resilience of Vulnerable Communities to Climate Variability in Rwanda’s Congo Nile Divide through Forest and Landscape Restoration,MOE_Rwanda,Rwanda,B.37,Public,Cross-cutting,N/A,Category B,39056421
FP218,PAP,"Building climate resilience in the landscapes of Kigoma region, Tanzania",UNEP,Tanzania,B.37,Public,Adaptation,Small,Category B,19007353
FP219,PAP,Staple Crops Processing Zone (SCPZ): Promoting Sustainable Agricultural Value Chains,AfDB,"Guinea, Senegal, Togo",B.37,Public,Cross-cutting,Medium,Intermediation 1,102790988.1
FP220,PAP,Africa Rural Climate Adaptation Finance Mechanism (ARCAFIM) for East Africa region,IFAD,"Kenya, Rwanda, Tanzania, Uganda",B.37,Private,Adaptation,Large,Category B,55000000
FP221,PAP,Rwanda Green Investment Facility (RGIF),AfDB,Rwanda,B.37,Private,Cross-cutting,Medium,Intermediation 2,42793000
FP222,PAP,Renewable Energy Performance Platform (REPP 2),CAMCO,"Cameroon, Democratic Republic of the Congo (the), Lesotho, Madagascar, Malawi, Niger (the), Nigeria, Sierra Leone, Zambia",B.37,Private,Cross-cutting,N/A,Intermediation 2,50000000
FP223,PAP,"Project GAIA (""GAIA"")",MUFG_Bank,"Barbados, Benin, Costa Rica, Cote d'Ivoire, Dominican Republic (the), Ghana, Guatemala, India, Indonesia, Jamaica, Kenya, Mauritius, Mongolia, Morocco, Panama, Peru, Philippines (the), Tanzania, Togo",B.37,Private,Cross-cutting,Large,Intermediation 1,152500000
FP224,PAP,Renewstable Barbados Project,IFC,Barbados,B.37,Private,Mitigation,Medium,Category A,41000000
FP225,PAP,E-Mobility Program,ADB,"Armenia, Georgia, Indonesia, Kazakhstan, Kyrgyzstan, Nepal, Uzbekistan",B.38,Public,Cross-cutting,Large,Category B,169920000
FP226,PAP,Resilient Puna: Ecosystem based Adaptation for sustainable High Andean communities and ecosystems in Peru,GIZ,Peru,B.38,Public,Adaptation,N/A,Category B,41622448.98
FP227,PAP,Increase Resilience to Climate Change of Smallholders Receiving the Services of the Inclusive Agricultural Value Chains Programme (DEFIS +),IFAD,Madagascar,B.38,Public,Adaptation,N/A,Category B,53861003
FP228,PAP,Cambodian Climate Financing Facility,KDB,Cambodia,B.38,Private,Cross-cutting,Medium,Intermediation 2,54959050
FP229,PAP,Acumen Climate Action Pakistan Fund,Acumen,Pakistan,B.38,Private,Adaptation,Medium,Category B,28000000
FP230,PAP,Kuali Fund-GCF,COFIDES,"Brazil, Colombia, El Salvador, Guatemala, Honduras, Mexico, Panama",B.38,Private,Cross-cutting,Medium,Intermediation 2,33469387.76
FP231,PAP,Accelerating Solar Action Program (ASAP),Ecobank,Ghana,B.38,Private,Mitigation,Small,Intermediation 2,16197530
FP232,PAP,Jordan Integrated Landscape Management Initiative (JILMI),UNEP,Jordan,B.39,Public,Adaptation,Small,Category B,44904203
FP233,PAP,Community-based Agriculture Support Programme ‘plus’ (CASP+),IFAD,Tajikistan,B.39,Public,Cross-cutting,Medium,Category B,39000000
FP234,PAP,Tonga Coastal Resilience,UNDP,Tonga,B.39,Public,Adaptation,Medium,Category B,22656409
FP235,PAP,"Mangroves for climate: Public, Private and Community Partnerships for Mitigation and Adaptation in Ecuador",CI,Ecuador,B.39,Public,Cross-cutting,Small,Category B,36404391
FP236,PAP,Basin Approach for Livelihood Sustainability through Adaptation Strategies (BALSAS),IFAD,Mexico,B.39,Public,Cross-cutting,Medium,Category B,39500000
FP237,PAP,E-Motion : E-Mobility and Low Carbon Transportation,AFD,"Argentina, Brazil, Colombia, Costa Rica, Dominican Republic (the), Mexico, Peru",B.39,Public,Mitigation,Large,Category B,120196056.1
FP238,PAP,Ecosystems-based Adaptation for resilient Watersheds and Communities in Malawi (EbAM),FAO,Malawi,B.39,Public,Cross-cutting,Small,Category B,42808151
FP239,PAP,Building Climate Resilience for Food and Livelihoods in the Horn of Africa (BREFOL),AfDB,"Djibouti, Ethiopia, Kenya, Somalia, South Sudan",B.39,Public,Cross-cutting,Large,Intermediation 2,151000000
FP240,PAP,Collaborative R&DB Programme for Promoting the Innovation of Climate Technopreneurship,KDB,"Cambodia, Indonesia, Lao People's Democratic Republic (the), Philippines (the), Viet Nam",B.39,Private,Cross-cutting,Medium,Intermediation 2,104471000
FP241,PAP,Financing Mitigation and Adaptation Projects (FMAP) in Indian MSMEs,SIDBI,India,B.39,Private,Cross-cutting,N/A,Intermediation 2,215600000
FP242,PAP,Caribbean Net-Zero and Resilient Private Sector,IDB_Invest,"Bahamas, Barbados, Belize, Dominican Republic (the), Guyana, Jamaica, Suriname, Trinidad and Tobago",B.39,Private,Cross-cutting,Large,Intermediation 1,118975948
FP243,PAP,Climate-resilient community access to safe water powered by renewable energy in drought-vulnerable regions of Ethiopia,MoFEC,Ethiopia,B.40,Public,Cross-cutting,Small,Category B,44994677
FP244,PAP,Climate Resilient Health and Well-Being for Rural Communities in southern Malawi (CHWBRC),SCA,Malawi,B.40,Public,Adaptation,N/A,Category C,33000000
FP245,PAP,Green City Kigali: a new model for urban development in Rwanda,MOE_Rwanda,Rwanda,B.40,Public,Adaptation,Small,Category B,27995786
FP246,PAP,Climate Resilient Agriculture in Somalia (Ugbaad),FAO,Somalia,B.40,Public,Adaptation,N/A,Category B,79707268
FP247,PAP,"Local Climate Adaptive Living Facility Plus (LoCAL+) – West Africa (Burkina Faso, Ivory Coast, Mali and Niger)",BOAD,"Burkina Faso, Cote d'Ivoire, Mali, Niger (the)",B.40,Public,Adaptation,Medium,Intermediation 3,45289088.78
FP248,PAP,Land-based Mitigation and Adaptation through a Jurisdictional Approach in West Kalimantan,GIZ,Indonesia,B.40,Public,Cross-cutting,Medium,Category B,60698725.51
FP249,PAP,Strengthening climate Resilience of Vulnerable Agriculture Livelihoods in Iraq (SRVALI),FAO,Iraq,B.40,Public,Cross-cutting,Small,Category B,29252000
FP250,PAP,Achieving emission reduction in the Central Highlands and South Central Coast of Viet Nam to support National REDD+ Action Programme goals (RECAF),IFAD,Viet Nam,B.40,Public,Mitigation,Medium,Category B,35000000
FP251,PAP,Barbados Climate Resilient South Coast Water Reclamation Project (SCWRP),IDB,Barbados,B.40,Public,Adaptation,N/A,Category B,70000000
FP252,PAP,Acumen Resilient Agriculture Fund II,Acumen,"Cote d'Ivoire, Egypt, Ghana, Morocco, Nigeria, Uganda",B.40,Private,Adaptation,N/A,Intermediation 2,34000000
FP253,PAP,Greening Financial Systems: Delivering Climate Finance for All,EBRD,"Armenia, Egypt, Georgia, Jordan, Kazakhstan, Kyrgyzstan, North Macedonia, Moldova, Mongolia, Morocco, Serbia, Tajikistan, Uzbekistan",B.40,Private,Cross-cutting,N/A,Category B,200000000
FP254,PAP,GCF-IFC Scaling Resilient Water Infrastructure (RWI) Facility,IFC,"Azerbaijan, Chile, Cote d'Ivoire, Egypt, Gabon, India, Indonesia, Morocco, Pakistan, Peru, Tunisia, Uzbekistan",B.40,Private,Cross-cutting,Large,Category A,258000000
SAP001,SAP,"Improving rangeland and ecosystem management practices of smallholder farmers under conditions of climate change in Sesfontein, Fransfontein, and Warmquelle areas of the Republic of Namibia",EIF,Namibia,B.19,Public,Adaptation,Micro,Category C,9300000
SAP002,SAP,Climate services and diversification of climate sensitive livelihoods to empower food insecure and vulnerable communities in the Kyrgyz Republic.,WFP,Kyrgyzstan,B.21,Public,Adaptation,Micro,Category C,8576108
SAP003,SAP,Enhancing climate resilience of the water sector in Bahrain,UNEP,Bahrain,B.21,Public,Adaptation,Micro,Category C,2320388
SAP004,SAP,Energy Efficient Consumption Loan Programme,XacBank,Mongolia,B.21,Private,Mitigation,Small,Intermediation 3,10000000
SAP005,SAP,Enhanced climate resilience of rural communities in central and north Benin through the implementation of ecosystem-based adaptation (EbA) in forest and agricultural landscapes,UNEP,Benin,B.22,Public,Adaptation,Micro,Category C,9000000
SAP006,SAP,Building resilience of communities living in landscapes threatened under climate change through an ecosystems-based adaptation approach,EIF,Namibia,B.22,Public,Adaptation,Micro,Category C,8904000
SAP007,SAP,Integrated Climate Risk Management for Food Security and Livelihoods in Zimbabwe focusing on Masvingo and Rushinga Districts,WFP,Zimbabwe,B.23,Public,Adaptation,Micro,Category C,8858316
SAP008,SAP,Extended Community Climate Change Project-Flood (ECCCP-Flood),PKSF,Bangladesh,B.24,Public,Adaptation,Small,Category C,9681340
SAP009,SAP,Building resilience of urban populations with ecosystem-based solutions in Lao PDR,UNEP,Lao People's Democratic Republic (the),B.24,Public,Adaptation,Small,Category C,10000000
SAP010,SAP,Multi-Hazard Impact-Based Forecasting and Early Warning System  for the Philippines,Landbank,Philippines (the),B.24,Public,Adaptation,Small,Category C,9999042.27
SAP011,SAP,Climate-resilient food security for women and men smallholders in Mozambique through integrated risk management,WFP,Mozambique,B.24,Public,Adaptation,Micro,Category C,9250000
SAP012,SAP,Inclusive Green Financing for Climate Resilient and Low Emission Smallholder Agriculture,IFAD,Niger (the),B.24,Public,Cross-cutting,Small,Category C,8673469.39
SAP013,SAP,"Scaling Smart, Solar, Energy Access Microgrids in Haiti",NEFCO,Haiti,B.25,Private,Cross-cutting,Small,Category C,9900000
SAP014,SAP,"Forest resilience of Armenia, enhancing adaptation and rural green growth via mitigation",FAO,Armenia,B.26,Public,Cross-cutting,Small,Category C,10000000
SAP015,SAP,Promoting zero-deforestation cocoa production for reducing emissions in Côte d’Ivoire (PROMIRE),FAO,Cote d'Ivoire,B.26,Public,Mitigation,Micro,Category C,10000000
SAP016,SAP,Fiji Agrophotovoltaic Project in Ovalau,FDB,Fiji,B.26,Private,Mitigation,Small,Category C,2600000
SAP017,SAP,Climate proofing food production investments in Imbo and Moso basins in the Republic of Burundi,IFAD,Burundi,B.27,Public,Adaptation,Small,Category C,9994500
SAP018,SAP,Enhancing Climate Information Systems for Resilient Development in Liberia (Liberia CIS),AfDB,Liberia,B.27,Public,Adaptation,Small,Category C,10000000
SAP019,SAP,"Gums for Adaptation and Mitigation in Sudan (GAMS): Enhancing adaptive capacity of local communities and restoring carbon sink potential of the Gum Arabic belt, expanding Africa’s Great Green Wall",FAO,Sudan,B.27,Public,Cross-cutting,Micro,Category C,9975000
SAP020,SAP,Climate resilient food security for farming households across the Federated States of Micronesia (FSM),MCT,Micronesia (Federated States of),B.28,Public,Adaptation,Micro,Category C,8583350
SAP021,SAP,Community-based Landscape Management for Enhanced Climate Resilience and Reduction of Deforestation in Critical Watersheds,JICA,Timor-Leste,B.28,Public,Mitigation,Small,Category C,9976222
SAP022,SAP,Enhancing Multi-Hazard Early Warning System to increase resilience of Uzbekistan communities to climate change induced hazards,UNDP,Uzbekistan,B.28,Public,Adaptation,Small,Category C,9999455
SAP023,SAP,River Restoration for Climate Change Adaptation (RIOS),FMCN,Mexico,B.28,Public,Cross-cutting,Micro,Category C,9000000
SAP024,SAP,Pakistan Distributed Solar Project,JSBank,Pakistan,B.32,Private,Mitigation,Small,Category C,10000000
SAP025,SAP,Adaptation of agricultural production systems in Coastal Areas of Northwest Guinea-Bissau,OSS,Guinea-Bissau,B.34,Public,Adaptation,Micro,Category C,9807800
SAP026,SAP,Extended Community Climate Change Project-Drought (ECCCP-Drought),PKSF,Bangladesh,B.36,Public,Adaptation,Small,Category C,24957990
SAP027,SAP,Solomon Islands Knowledge-Action-Sustainability for Resilient Villages (SOLKAS) Project,SCA,Solomon Islands,B.36,Public,Adaptation,Small,Category C,24965114
SAP028,SAP,"Women-Adapt: Enhancing the climate change adaptive capacity of smallholder farmer communities in the Poro Region, focusing on vulnerable women and youth",WFP,Cote d'Ivoire,B.36,Public,Adaptation,Micro,Category C,8999880
SAP029,SAP,Ecosystem-based Adaptation (EbA) for Reducing Community Vulnerability to Climate Change in Northern Pacific Small Island Developing States (SIDS),MCT,"Marshall Islands, Micronesia (Federated States of), Palau",B.36,Public,Adaptation,Micro,Category C,8896275
SAP030,SAP,Strengthening Climate Resilience of the Lao People’s Democratic Republic (PDR) Health System,SCA,Lao People's Democratic Republic (the),B.37,Public,Adaptation,N/A,Category C,24978084
SAP031,SAP,Marajó Resiliente: Enhancing the resilience of smallholders to climate change impacts through adapting and scaling up diversified agroforestry systems in the Marajo Archipelago of Brazil,FundacionAvina,Brazil,B.37,Public,Adaptation,Micro,Category C,9388923
SAP032,SAP,Local Climate Adaptive Living Facility – LoCAL,FNEC,Benin,B.37,Public,Adaptation,N/A,Category C,9387720
SAP033,SAP,Enhancing Climate Information Systems for Resilient Development in Sierra Leone,AfDB,Sierra Leone,B.37,Public,Adaptation,Small,Category C,15094264
SAP034,SAP,Akamatutu’anga To Tatou Ora’anga Meitaki (ATOM): Building a healthy and resilient Cook Islands Community – one block at a time,MFEM_COK,Cook Islands,B.38,Public,Adaptation,N/A,Category C,12512509
SAP035,SAP,Building the Adaptive Capacity of Sugarcane Farmers in Northern Belize (BaC-SuF).,CCCCC,Belize,B.38,Public,Adaptation,Small,Category C,25000000
SAP036,SAP,Sierra Leone Coastal Resilience Project (SLCRP),SCA,Sierra Leone,B.38,Public,Adaptation,Small,Category C,25000000
SAP037,SAP,Avaana Sustainability Fund,SIDBI,India,B.38,Private,Cross-cutting,Small,Category C,24500000
SAP038,SAP,"Climate Adaptation, Resilience and Engagement in Local Governments (CARE-LG)",BTFEC,Bhutan,B.39,Public,Adaptation,Small,Category C,10000000
SAP039,SAP,"Integrated climate risk management for strengthened resilience to climate change in Buner and Shangla Districts of Khyber Pakhtunkhwa Province, Pakistan",WFP,Pakistan,B.39,Public,Adaptation,Micro,Category C,8777141
SAP040,SAP,Climate Adaptation and Resilience in Thua Thien Hue Province Vietnam (CARe Hue),LuxDev,Viet Nam,B.39,Public,Adaptation,Micro,Category C,8650000
SAP041,SAP,ALBAdapt – Climate Services for a Resilient Albania,GIZ,Albania,B.39,Public,Adaptation,N/A,Category C,23540816.33
SAP042,SAP,Building climate resilience by linking climate adaptation and social protection through decentralised planning in Mozambique (LINK),SCA,Mozambique,B.39,Public,Adaptation,Small,Category C,23500000
SAP043,SAP,"Upscaling ""Naatangue"" integrated family and village farms for a resilient agriculture in Senegal",CSE,Senegal,B.39,Public,Cross-cutting,Micro,Category C,9234784.69
SAP044,SAP,Empowering Women Groups to Build Resilience to Climate Impacts in the Province of Cunene in South West Angola (CREW Angola),OSS,Angola,B.40,Public,Adaptation,Micro,Category C,9616032
SAP045,SAP,Scaling up Climate Resilience Solutions for Burundian Smallholders,OAF,Burundi,B.40,Public,Cross-cutting,Small,Category C,25000000
SAP046,SAP,Strengthening Climate Information and Multi-Hazard Early Warning Systems for Increased Resilience in Azerbaijan,UNEP,Azerbaijan,B.40,Public,Adaptation,Small,Category C,24994797.3
SAP047,SAP,Climaventures: Harnessing the Domestic Private Sector Ecosystem for Climate Action in Pakistan,NRSP,Pakistan,B.40,Private,Cross-cutting,N/A,Intermediation 3,25000000
